V1	V2	V3	father
10624	R-HSA-5624958	ARL13B-mediated ciliary trafficking of INPP5E	Homo sapiens	Organelle biogenesis and maintenance
10625	R-HSA-170984	ARMS-mediated activation	Homo sapiens	Signal Transduction
10626	R-HSA-9717264	ASP-3026-resistant ALK mutants	Homo sapiens	Disease
10627	R-HSA-380994	ATF4 activates genes in response to endoplasmic reticulum  stress	Homo sapiens	Cellular responses to stimuli
10628	R-HSA-381183	ATF6 (ATF6-alpha) activates chaperone genes	Homo sapiens	Cellular responses to stimuli
10629	R-HSA-381033	ATF6 (ATF6-alpha) activates chaperones	Homo sapiens	Cellular responses to stimuli
10630	R-HSA-8874177	ATF6B (ATF6-beta) activates chaperones	Homo sapiens	Cellular responses to stimuli
10631	R-HSA-1296025	ATP sensitive Potassium channels	Homo sapiens	Neuronal System
10632	R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	Homo sapiens	Metabolism of RNA
10633	R-HSA-8854518	AURKA Activation by TPX2	Homo sapiens	Cell Cycle
10634	R-HSA-5467340	AXIN missense mutants destabilize the destruction complex	Homo sapiens	Disease
10635	R-HSA-2161522	Abacavir ADME	Homo sapiens	Drug ADME
10636	R-HSA-2161541	Abacavir metabolism	Homo sapiens	Drug ADME
10637	R-HSA-2161517	Abacavir transmembrane transport	Homo sapiens	Drug ADME
10638	R-HSA-73930	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	Homo sapiens	DNA Repair
10639	R-HSA-9659787	Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	Homo sapiens	Disease
10640	R-HSA-9687139	Aberrant regulation of mitotic cell cycle due to RB1 defects	Homo sapiens	Disease
10641	R-HSA-9687136	Aberrant regulation of mitotic exit in cancer due to RB1 defects	Homo sapiens	Disease
10642	R-HSA-2978092	Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate	Homo sapiens	Disease
10643	R-HSA-167242	Abortive elongation of HIV-1 transcript in the absence of Tat	Homo sapiens	Disease
10644	R-HSA-156582	Acetylation	Homo sapiens	Metabolism
10645	R-HSA-264642	Acetylcholine Neurotransmitter Release Cycle	Homo sapiens	Neuronal System
10646	R-HSA-181431	Acetylcholine binding and downstream events	Homo sapiens	Neuronal System
10647	R-HSA-9667769	Acetylcholine inhibits contraction of outer hair cells	Homo sapiens	Sensory Perception
10648	R-HSA-399997	Acetylcholine regulates insulin secretion	Homo sapiens	Metabolism
10649	R-HSA-1300645	Acrosome Reaction and Sperm:Oocyte Membrane Binding	Homo sapiens	Reproduction
10650	R-HSA-2122948	Activated NOTCH1 Transmits Signal to the Nucleus	Homo sapiens	Signal Transduction
10651	R-HSA-9032845	Activated NTRK2 signals through CDK5	Homo sapiens	Signal Transduction
10652	R-HSA-9028731	Activated NTRK2 signals through FRS2 and FRS3	Homo sapiens	Signal Transduction
10653	R-HSA-9032500	Activated NTRK2 signals through FYN	Homo sapiens	Signal Transduction
10654	R-HSA-9028335	Activated NTRK2 signals through PI3K	Homo sapiens	Signal Transduction
10655	R-HSA-9026527	Activated NTRK2 signals through PLCG1	Homo sapiens	Signal Transduction
10656	R-HSA-9026519	Activated NTRK2 signals through RAS	Homo sapiens	Signal Transduction
10657	R-HSA-9603381	Activated NTRK3 signals through PI3K	Homo sapiens	Signal Transduction
10658	R-HSA-9034793	Activated NTRK3 signals through PLCG1	Homo sapiens	Signal Transduction
10659	R-HSA-9034864	Activated NTRK3 signals through RAS	Homo sapiens	Signal Transduction
10660	R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Homo sapiens	Signal Transduction
10661	R-HSA-2033519	Activated point mutants of FGFR2	Homo sapiens	Disease
10662	R-HSA-111452	Activation and oligomerization of BAK protein	Homo sapiens	Programmed Cell Death
10663	R-HSA-165158	Activation of AKT2	Homo sapiens	Signal Transduction
10664	R-HSA-399710	Activation of AMPA receptors	Homo sapiens	Neuronal System
10665	R-HSA-9619483	Activation of AMPK downstream of NMDARs	Homo sapiens	Neuronal System
10666	R-HSA-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Homo sapiens	Cell Cycle
10667	R-HSA-176187	Activation of ATR in response to replication stress	Homo sapiens	Cell Cycle
10668	R-HSA-111447	Activation of BAD and translocation to mitochondria 	Homo sapiens	Programmed Cell Death
10669	R-HSA-114452	Activation of BH3-only proteins	Homo sapiens	Programmed Cell Death
10670	R-HSA-111446	Activation of BIM and translocation to mitochondria 	Homo sapiens	Programmed Cell Death
10671	R-HSA-139910	Activation of BMF and translocation to mitochondria	Homo sapiens	Programmed Cell Death
10672	R-HSA-174577	Activation of C3 and C5	Homo sapiens	Immune System
10673	R-HSA-451308	Activation of Ca-permeable Kainate Receptor	Homo sapiens	Neuronal System
10674	R-HSA-1296041	Activation of G protein gated Potassium channels	Homo sapiens	Neuronal System
10675	R-HSA-991365	Activation of GABAB receptors	Homo sapiens	Neuronal System
10676	R-HSA-5619507	Activation of HOX genes during differentiation	Homo sapiens	Developmental Biology
10677	R-HSA-936964	Activation of IRF3, IRF7 mediated by TBK1, IKBKE	Homo sapiens	Immune System
10678	R-HSA-1592389	Activation of Matrix Metalloproteinases	Homo sapiens	Extracellular matrix organization
10679	R-HSA-1169091	Activation of NF-kappaB in B cells	Homo sapiens	Immune System
10680	R-HSA-2980767	Activation of NIMA Kinases NEK9, NEK6, NEK7	Homo sapiens	Cell Cycle
10681	R-HSA-442755	Activation of NMDA receptors and postsynaptic events	Homo sapiens	Neuronal System
10682	R-HSA-111448	Activation of NOXA and translocation to mitochondria	Homo sapiens	Programmed Cell Death
10683	R-HSA-451307	Activation of Na-permeable kainate receptors	Homo sapiens	Neuronal System
10684	R-HSA-2151209	Activation of PPARGC1A (PGC-1alpha) by phosphorylation	Homo sapiens	Organelle biogenesis and maintenance
10685	R-HSA-139915	Activation of PUMA and translocation to mitochondria	Homo sapiens	Programmed Cell Death
10686	R-HSA-428540	Activation of RAC1	Homo sapiens	Developmental Biology
10687	R-HSA-9619229	Activation of RAC1 downstream of NMDARs	Homo sapiens	Neuronal System
10688	R-HSA-1169092	Activation of RAS in B cells	Homo sapiens	Immune System
10689	R-HSA-5635838	Activation of SMO	Homo sapiens	Signal Transduction
10690	R-HSA-187015	Activation of TRKA receptors	Homo sapiens	Signal Transduction
10691	R-HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis	Homo sapiens	Developmental Biology
10692	R-HSA-111459	Activation of caspases through apoptosome-mediated cleavage	Homo sapiens	Programmed Cell Death
10693	R-HSA-2426168	Activation of gene expression by SREBF (SREBP)	Homo sapiens	Metabolism
10694	R-HSA-451326	Activation of kainate receptors upon glutamate binding	Homo sapiens	Neuronal System
10695	R-HSA-450341	Activation of the AP-1 family of transcription factors	Homo sapiens	Immune System
10696	R-HSA-8866907	Activation of the TFAP2 (AP-2) family of transcription factors	Homo sapiens	Gene expression (Transcription)
10697	R-HSA-72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	Homo sapiens	Metabolism of proteins
10698	R-HSA-2485179	Activation of the phototransduction cascade	Homo sapiens	Sensory Perception
10699	R-HSA-68962	Activation of the pre-replicative complex	Homo sapiens	Cell Cycle
10700	R-HSA-75108	Activation, myristolyation of BID and translocation to mitochondria	Homo sapiens	Programmed Cell Death
10701	R-HSA-114294	Activation, translocation and oligomerization of BAX	Homo sapiens	Programmed Cell Death
10702	R-HSA-1482798	Acyl chain remodeling of CL	Homo sapiens	Metabolism
10703	R-HSA-1482883	Acyl chain remodeling of DAG and TAG	Homo sapiens	Metabolism
10704	R-HSA-1482788	Acyl chain remodelling of PC	Homo sapiens	Metabolism
10705	R-HSA-1482839	Acyl chain remodelling of PE	Homo sapiens	Metabolism
10706	R-HSA-1482925	Acyl chain remodelling of PG	Homo sapiens	Metabolism
10707	R-HSA-1482922	Acyl chain remodelling of PI	Homo sapiens	Metabolism
10708	R-HSA-1482801	Acyl chain remodelling of PS	Homo sapiens	Metabolism
10709	R-HSA-1280218	Adaptive Immune System	Homo sapiens	Immune System
10710	R-HSA-417973	Adenosine P1 receptors	Homo sapiens	Signal Transduction
10711	R-HSA-170660	Adenylate cyclase activating pathway	Homo sapiens	Signal Transduction
10712	R-HSA-170670	Adenylate cyclase inhibitory pathway	Homo sapiens	Neuronal System_Signal Transduction
10713	R-HSA-418990	Adherens junctions interactions	Homo sapiens	Cell-Cell communication
10714	R-HSA-392023	Adrenaline signalling through Alpha-2 adrenergic receptor	Homo sapiens	Hemostasis
10715	R-HSA-400042	Adrenaline,noradrenaline inhibits insulin secretion	Homo sapiens	Metabolism
10716	R-HSA-390696	Adrenoceptors	Homo sapiens	Signal Transduction
10717	R-HSA-879415	Advanced glycosylation endproduct receptor signaling	Homo sapiens	Immune System
10718	R-HSA-5423646	Aflatoxin activation and detoxification	Homo sapiens	Metabolism
10719	R-HSA-9646399	Aggrephagy	Homo sapiens	Autophagy
10720	R-HSA-351143	Agmatine biosynthesis	Homo sapiens	Metabolism
10721	R-HSA-8964540	Alanine metabolism	Homo sapiens	Metabolism
10722	R-HSA-9730737	Alkylating DNA damage induced by chemotherapeutic drugs	Homo sapiens	DNA Repair
10723	R-HSA-1462054	Alpha-defensins	Homo sapiens	Immune System
10724	R-HSA-389599	Alpha-oxidation of phytanate	Homo sapiens	Metabolism
10725	R-HSA-9645460	Alpha-protein kinase 1 signaling pathway	Homo sapiens	Immune System
10726	R-HSA-9006821	Alternative Lengthening of Telomeres (ALT)	Homo sapiens	Disease
10727	R-HSA-173736	Alternative complement activation	Homo sapiens	Immune System
10728	R-HSA-140179	Amine Oxidase reactions	Homo sapiens	Metabolism
10729	R-HSA-375280	Amine ligand-binding receptors	Homo sapiens	Signal Transduction
10730	R-HSA-156587	Amino Acid conjugation	Homo sapiens	Metabolism
10731	R-HSA-352230	Amino acid transport across the plasma membrane	Homo sapiens	Transport of small molecules
10732	R-HSA-9639288	Amino acids regulate mTORC1	Homo sapiens	Cellular responses to stimuli
10733	R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	Homo sapiens	Cell Cycle
10734	R-HSA-141424	Amplification of signal from the kinetochores	Homo sapiens	Cell Cycle
10735	R-HSA-977225	Amyloid fiber formation	Homo sapiens	Metabolism of proteins
10736	R-HSA-2214320	Anchoring fibril formation	Homo sapiens	Extracellular matrix organization
10737	R-HSA-5620912	Anchoring of the basal body to the plasma membrane	Homo sapiens	Organelle biogenesis and maintenance
10738	R-HSA-193048	Androgen biosynthesis	Homo sapiens	Metabolism
10739	R-HSA-2473224	Antagonism of Activin by Follistatin	Homo sapiens	Signal Transduction
10740	R-HSA-9662851	Anti-inflammatory response favouring Leishmania parasite infection	Homo sapiens	Disease
10741	R-HSA-983170	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	Homo sapiens	Immune System
10742	R-HSA-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	Homo sapiens	Immune System
10743	R-HSA-1236975	Antigen processing-Cross presentation	Homo sapiens	Immune System
10744	R-HSA-983168	Antigen processing: Ubiquitination & Proteasome degradation	Homo sapiens	Immune System
10745	R-HSA-9639775	Antimicrobial action and antimicrobial resistance in Mtb	Homo sapiens	Disease
10746	R-HSA-6803157	Antimicrobial peptides	Homo sapiens	Immune System
10747	R-HSA-1169410	Antiviral mechanism by IFN-stimulated genes	Homo sapiens	Immune System
10748	R-HSA-109581	Apoptosis	Homo sapiens	Programmed Cell Death
10749	R-HSA-140342	Apoptosis induced DNA fragmentation	Homo sapiens	Programmed Cell Death
10750	R-HSA-351906	Apoptotic cleavage of cell adhesion  proteins	Homo sapiens	Programmed Cell Death
10751	R-HSA-111465	Apoptotic cleavage of cellular proteins	Homo sapiens	Programmed Cell Death
10752	R-HSA-75153	Apoptotic execution phase	Homo sapiens	Programmed Cell Death
10753	R-HSA-111471	Apoptotic factor-mediated response	Homo sapiens	Programmed Cell Death
10754	R-HSA-445717	Aquaporin-mediated transport	Homo sapiens	Transport of small molecules
10755	R-HSA-426048	Arachidonate production from DAG	Homo sapiens	Signal Transduction
10756	R-HSA-2142753	Arachidonic acid metabolism	Homo sapiens	Metabolism
10757	R-HSA-211957	Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2	Homo sapiens	Metabolism
10758	R-HSA-8937144	Aryl hydrocarbon receptor signalling	Homo sapiens	Metabolism
10759	R-HSA-446203	Asparagine N-linked glycosylation	Homo sapiens	Metabolism of proteins
10760	R-HSA-8963693	Aspartate and asparagine metabolism	Homo sapiens	Metabolism
10761	R-HSA-9749641	Aspirin ADME	Homo sapiens	Drug ADME
10762	R-HSA-175474	Assembly Of The HIV Virion	Homo sapiens	Disease
10763	R-HSA-9609736	Assembly and cell surface presentation of NMDA receptors	Homo sapiens	Neuronal System
10764	R-HSA-168316	Assembly of Viral Components at the Budding Site	Homo sapiens	Disease
10765	R-HSA-8963889	Assembly of active LPL and LIPC lipase complexes	Homo sapiens	Transport of small molecules
10766	R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	Homo sapiens	Extracellular matrix organization
10767	R-HSA-68616	Assembly of the ORC complex at the origin of replication	Homo sapiens	DNA Replication
10768	R-HSA-9683439	Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC)	Homo sapiens	Disease
10769	R-HSA-9694271	Assembly of the SARS-CoV-2 Replication-Transcription Complex (RTC)	Homo sapiens	Disease
10770	R-HSA-68867	Assembly of the pre-replicative complex	Homo sapiens	DNA Replication
10771	R-HSA-390471	Association of TriC/CCT with target proteins during biosynthesis	Homo sapiens	Metabolism of proteins
10772	R-HSA-210455	Astrocytic Glutamate-Glutamine Uptake And Metabolism	Homo sapiens	Neuronal System
10773	R-HSA-4608870	Asymmetric localization of PCP proteins	Homo sapiens	Signal Transduction
10774	R-HSA-9754706	Atorvastatin ADME	Homo sapiens	Drug ADME
10775	R-HSA-9678110	Attachment and Entry	Homo sapiens	Disease
10776	R-HSA-9694614	Attachment and Entry	Homo sapiens	Disease
10777	R-HSA-162791	Attachment of GPI anchor to uPAR	Homo sapiens	Metabolism of proteins
10778	R-HSA-3371568	Attenuation phase	Homo sapiens	Cellular responses to stimuli
10779	R-HSA-174084	Autodegradation of Cdh1 by Cdh1:APC/C	Homo sapiens	Cell Cycle
10780	R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	Homo sapiens	Cell Cycle
10781	R-HSA-177539	Autointegration results in viral DNA circles	Homo sapiens	Disease
10782	R-HSA-9612973	Autophagy	Homo sapiens	Autophagy
10783	R-HSA-422475	Axon guidance	Homo sapiens	Developmental Biology
10784	R-HSA-193634	Axonal growth inhibition (RHOA activation)	Homo sapiens	Signal Transduction
10785	R-HSA-209563	Axonal growth stimulation	Homo sapiens	Signal Transduction
10786	R-HSA-9748787	Azathioprine ADME	Homo sapiens	Drug ADME
10787	R-HSA-5250924	B-WICH complex positively regulates rRNA expression	Homo sapiens	Gene expression (Transcription)
10788	R-HSA-5620922	BBSome-mediated cargo-targeting to cilium	Homo sapiens	Organelle biogenesis and maintenance
10789	R-HSA-9024909	BDNF activates NTRK2 (TRKB) signaling	Homo sapiens	Signal Transduction
10790	R-HSA-111453	BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	Homo sapiens	Programmed Cell Death
10791	R-HSA-1368108	BMAL1:CLOCK,NPAS2 activates circadian gene expression	Homo sapiens	Circadian Clock
10792	R-HSA-9824439	Bacterial Infection Pathways	Homo sapiens	Disease
10793	R-HSA-73884	Base Excision Repair	Homo sapiens	DNA Repair
10794	R-HSA-73929	Base-Excision Repair, AP Site Formation	Homo sapiens	DNA Repair
10795	R-HSA-210991	Basigin interactions	Homo sapiens	Hemostasis
10796	R-HSA-1461957	Beta defensins	Homo sapiens	Immune System
10797	R-HSA-77352	Beta oxidation of butanoyl-CoA to acetyl-CoA	Homo sapiens	Metabolism
10798	R-HSA-77346	Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	Homo sapiens	Metabolism
10799	R-HSA-77350	Beta oxidation of hexanoyl-CoA to butanoyl-CoA	Homo sapiens	Metabolism
10800	R-HSA-77310	Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA	Homo sapiens	Metabolism
10801	R-HSA-77285	Beta oxidation of myristoyl-CoA to lauroyl-CoA	Homo sapiens	Metabolism
10802	R-HSA-77348	Beta oxidation of octanoyl-CoA to hexanoyl-CoA	Homo sapiens	Metabolism
10803	R-HSA-77305	Beta oxidation of palmitoyl-CoA to myristoyl-CoA	Homo sapiens	Metabolism
10804	R-HSA-3858494	Beta-catenin independent WNT signaling	Homo sapiens	Signal Transduction
10805	R-HSA-196299	Beta-catenin phosphorylation cascade	Homo sapiens	Signal Transduction
10806	R-HSA-389887	Beta-oxidation of pristanoyl-CoA	Homo sapiens	Metabolism
10807	R-HSA-390247	Beta-oxidation of very long chain fatty acids	Homo sapiens	Metabolism
10808	R-HSA-425381	Bicarbonate transporters	Homo sapiens	Transport of small molecules
10809	R-HSA-194068	Bile acid and bile salt metabolism	Homo sapiens	Metabolism
10810	R-HSA-2173782	Binding and Uptake of Ligands by Scavenger Receptors	Homo sapiens	Vesicle-mediated transport
10811	R-HSA-173107	Binding and entry of HIV virion	Homo sapiens	Disease
10812	R-HSA-4411364	Binding of TCF/LEF:CTNNB1 to target gene promoters	Homo sapiens	Signal Transduction
10813	R-HSA-141333	Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB	Homo sapiens	Metabolism
10814	R-HSA-211859	Biological oxidations	Homo sapiens	Metabolism
10815	R-HSA-2466712	Biosynthesis of A2E, implicated in retinal degradation	Homo sapiens	Disease
10816	R-HSA-9018676	Biosynthesis of D-series resolvins	Homo sapiens	Metabolism
10817	R-HSA-9018677	Biosynthesis of DHA-derived SPMs	Homo sapiens	Metabolism
10818	R-HSA-9026395	Biosynthesis of DHA-derived sulfido conjugates	Homo sapiens	Metabolism
10819	R-HSA-9018683	Biosynthesis of DPA-derived SPMs	Homo sapiens	Metabolism
10820	R-HSA-9025094	Biosynthesis of DPAn-3 SPMs	Homo sapiens	Metabolism
10821	R-HSA-9026403	Biosynthesis of DPAn-3-derived 13-series resolvins	Homo sapiens	Metabolism
10822	R-HSA-9026290	Biosynthesis of DPAn-3-derived maresins	Homo sapiens	Metabolism
10823	R-HSA-9026286	Biosynthesis of DPAn-3-derived protectins and resolvins	Homo sapiens	Metabolism
10824	R-HSA-9025106	Biosynthesis of DPAn-6 SPMs	Homo sapiens	Metabolism
10825	R-HSA-9023661	Biosynthesis of E-series 18(R)-resolvins	Homo sapiens	Metabolism
10826	R-HSA-9018896	Biosynthesis of E-series 18(S)-resolvins	Homo sapiens	Metabolism
10827	R-HSA-9018679	Biosynthesis of EPA-derived SPMs	Homo sapiens	Metabolism
10828	R-HSA-9020265	Biosynthesis of aspirin-triggered D-series resolvins	Homo sapiens	Metabolism
10829	R-HSA-9027604	Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives	Homo sapiens	Metabolism
10830	R-HSA-9026762	Biosynthesis of maresin conjugates in tissue regeneration (MCTR)	Homo sapiens	Metabolism
10831	R-HSA-9027307	Biosynthesis of maresin-like SPMs	Homo sapiens	Metabolism
10832	R-HSA-9018682	Biosynthesis of maresins	Homo sapiens	Metabolism
10833	R-HSA-9026766	Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR)	Homo sapiens	Metabolism
10834	R-HSA-9018681	Biosynthesis of protectins	Homo sapiens	Metabolism
10835	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	Homo sapiens	Metabolism
10836	R-HSA-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	Homo sapiens	Metabolism of proteins
10837	R-HSA-196780	Biotin transport and metabolism	Homo sapiens	Metabolism
10838	R-HSA-9636467	Blockage of phagosome acidification	Homo sapiens	Disease
10839	R-HSA-9033658	Blood group systems biosynthesis	Homo sapiens	Metabolism
10840	R-HSA-70895	Branched-chain amino acid catabolism	Homo sapiens	Metabolism
10841	R-HSA-352238	Breakdown of the nuclear lamina	Homo sapiens	Programmed Cell Death
10842	R-HSA-168302	Budding	Homo sapiens	Disease
10843	R-HSA-162588	Budding and maturation of HIV virion	Homo sapiens	Disease
10844	R-HSA-450385	Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	Homo sapiens	Metabolism of RNA
10845	R-HSA-8851680	Butyrophilin (BTN) family interactions	Homo sapiens	Immune System
10846	R-HSA-5621481	C-type lectin receptors (CLRs)	Homo sapiens	Immune System
10847	R-HSA-75102	C6 deamination of adenosine	Homo sapiens	Metabolism of RNA
10848	R-HSA-5218900	CASP8 activity is inhibited	Homo sapiens	Programmed Cell Death
10849	R-HSA-9662834	CD163 mediating an anti-inflammatory response	Homo sapiens	Disease
10850	R-HSA-5621575	CD209 (DC-SIGN) signaling	Homo sapiens	Immune System
10851	R-HSA-5690714	CD22 mediated BCR regulation	Homo sapiens	Immune System
10852	R-HSA-389356	CD28 co-stimulation	Homo sapiens	Immune System
10853	R-HSA-389357	CD28 dependent PI3K/Akt signaling	Homo sapiens	Immune System
10854	R-HSA-389359	CD28 dependent Vav1 pathway	Homo sapiens	Immune System
10855	R-HSA-9013148	CDC42 GTPase cycle	Homo sapiens	Signal Transduction
10856	R-HSA-68689	CDC6 association with the ORC:origin complex	Homo sapiens	DNA Replication
10857	R-HSA-9833576	CDH11 homotypic and heterotypic interactions	Homo sapiens	Cell-Cell communication
10858	R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6	Homo sapiens	Cell Cycle
10859	R-HSA-447041	CHL1 interactions	Homo sapiens	Developmental Biology
10860	R-HSA-5607763	CLEC7A (Dectin-1) induces NFAT activation	Homo sapiens	Immune System
10861	R-HSA-5607764	CLEC7A (Dectin-1) signaling	Homo sapiens	Immune System
10862	R-HSA-5660668	CLEC7A/inflammasome pathway	Homo sapiens	Immune System
10863	R-HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic	Homo sapiens	Vesicle-mediated transport
10864	R-HSA-6811436	COPI-independent Golgi-to-ER retrograde traffic	Homo sapiens	Vesicle-mediated transport
10865	R-HSA-6807878	COPI-mediated anterograde transport	Homo sapiens	Metabolism of proteins
10866	R-HSA-204005	COPII-mediated vesicle transport	Homo sapiens	Metabolism of proteins
10867	R-HSA-140180	COX reactions	Homo sapiens	Metabolism
10868	R-HSA-199920	CREB phosphorylation	Homo sapiens	Immune System
10869	R-HSA-442742	CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	Homo sapiens	Neuronal System
10870	R-HSA-442720	CREB1 phosphorylation through the activation of Adenylate Cyclase	Homo sapiens	Neuronal System
10871	R-HSA-442729	CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde	Homo sapiens	Neuronal System
10872	R-HSA-8874211	CREB3 factors activate genes	Homo sapiens	Cellular responses to stimuli
10873	R-HSA-399956	CRMPs in Sema3A signaling	Homo sapiens	Developmental Biology
10874	R-HSA-2024101	CS/DS degradation	Homo sapiens	Metabolism
10875	R-HSA-389513	CTLA4 inhibitory signaling	Homo sapiens	Immune System
10876	R-HSA-5358747	CTNNB1 S33 mutants aren't phosphorylated	Homo sapiens	Disease
10877	R-HSA-5358749	CTNNB1 S37 mutants aren't phosphorylated	Homo sapiens	Disease
10878	R-HSA-5358751	CTNNB1 S45 mutants aren't phosphorylated	Homo sapiens	Disease
10879	R-HSA-5358752	CTNNB1 T41 mutants aren't phosphorylated	Homo sapiens	Disease
10880	R-HSA-211999	CYP2E1 reactions	Homo sapiens	Metabolism
10881	R-HSA-111996	Ca-dependent events	Homo sapiens	Signal Transduction
10882	R-HSA-1296052	Ca2+ activated K+ channels	Homo sapiens	Neuronal System
10883	R-HSA-4086398	Ca2+ pathway	Homo sapiens	Signal Transduction
10884	R-HSA-111997	CaM pathway	Homo sapiens	Signal Transduction
10885	R-HSA-111932	CaMK IV-mediated phosphorylation of CREB	Homo sapiens	Signal Transduction
10886	R-HSA-2025928	Calcineurin activates NFAT	Homo sapiens	Immune System
10887	R-HSA-419812	Calcitonin-like ligand receptors	Homo sapiens	Signal Transduction
10888	R-HSA-111933	Calmodulin induced events	Homo sapiens	Signal Transduction
10889	R-HSA-901042	Calnexin/calreticulin cycle	Homo sapiens	Metabolism of proteins
10890	R-HSA-111957	Cam-PDE 1 activation	Homo sapiens	Signal Transduction
10891	R-HSA-72737	Cap-dependent Translation Initiation	Homo sapiens	Metabolism of proteins
10892	R-HSA-8955332	Carboxyterminal post-translational modifications of tubulin	Homo sapiens	Metabolism of proteins
10893	R-HSA-5576891	Cardiac conduction	Homo sapiens	Muscle contraction
10894	R-HSA-9733709	Cardiogenesis	Homo sapiens	Developmental Biology
10895	R-HSA-5694530	Cargo concentration in the ER	Homo sapiens	Metabolism of proteins
10896	R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis	Homo sapiens	Vesicle-mediated transport
